warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65,time=66,time=67,time=68
3,11,7,"(39, 11)","(38, 11)","(38, 12)","(38, 13)","(38, 14)","(37, 14)","(36, 14)","(36, 15)","(36, 16)","(36, 17)","(35, 17)","(35, 18)","(35, 19)","(34, 19)","(34, 20)","(33, 20)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(28, 17)","(27, 17)","(26, 17)","(25, 17)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(24, 13)","(24, 12)","(24, 11)","(23, 11)","(22, 11)","(22, 10)","(21, 10)","(20, 10)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(9, 8)","(9, 7)","(8, 7)","(7, 7)","(6, 7)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(38, 10)","(37, 10)","(36, 10)","(36, 9)","(35, 9)","(35, 10)","(35, 11)","(34, 11)","(33, 11)","(32, 11)","(32, 12)","(32, 13)","(32, 14)","(31, 14)","(31, 13)","(31, 12)","(31, 11)","(30, 11)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(26, 8)","(26, 7)","(26, 6)","(26, 5)","(26, 4)","(25, 4)","(25, 5)","(25, 6)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(8, 8)","(7, 8)","(7, 7)","(6, 7)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(38, 10)","(37, 10)","(37, 9)","(37, 8)","(37, 7)","(37, 6)","(37, 5)","(37, 4)","(37, 3)","(37, 2)","(37, 1)","(36, 1)","(35, 1)","(34, 1)","(34, 0)","(33, 0)","(32, 0)","(31, 0)","(30, 0)","(30, 1)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(26, 4)","(25, 4)","(25, 5)","(25, 6)","(25, 7)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(23, 10)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(9, 8)","(9, 7)","(8, 7)","(7, 7)","(6, 7)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(38, 12)","(37, 12)","(36, 12)","(35, 12)","(35, 13)","(35, 14)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(35, 20)","(35, 21)","(35, 20)","(35, 19)","(35, 18)","(35, 17)","(35, 16)","(35, 15)","(35, 14)","(35, 13)","(35, 12)","(35, 11)","(34, 11)","(33, 11)","(32, 11)","(31, 11)","(31, 10)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(9, 8)","(8, 8)","(8, 7)","(7, 7)","(6, 7)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(37, 11)","(37, 12)","(36, 12)","(36, 11)","(36, 10)","(36, 9)","(35, 9)","(34, 9)","(33, 9)","(33, 10)","(33, 11)","(32, 11)","(31, 11)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(25, 15)","(25, 16)","(25, 17)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(23, 13)","(22, 13)","(22, 12)","(21, 12)","(20, 12)","(20, 11)","(20, 10)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(8, 8)","(7, 8)","(6, 8)","(5, 8)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(38, 10)","(37, 10)","(37, 11)","(37, 12)","(37, 13)","(36, 13)","(35, 13)","(34, 13)","(33, 13)","(33, 14)","(32, 14)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(25, 15)","(25, 16)","(25, 17)","(25, 18)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(22, 20)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(17, 18)","(16, 18)","(16, 17)","(15, 17)","(15, 16)","(15, 15)","(15, 14)","(14, 14)","(14, 13)","(13, 13)","(13, 12)","(12, 12)","(11, 12)","(10, 12)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(8, 9)","(7, 9)","(6, 9)","(5, 9)","(4, 9)","(3, 9)","(3, 8)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(38, 12)","(37, 12)","(36, 12)","(35, 12)","(35, 13)","(35, 14)","(35, 15)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(28, 17)","(28, 16)","(28, 15)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(25, 15)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(23, 13)","(22, 13)","(21, 13)","(21, 12)","(21, 11)","(21, 10)","(20, 10)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(9, 8)","(8, 8)","(8, 7)","(7, 7)","(6, 7)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(38, 10)","(38, 9)","(37, 9)","(37, 8)","(37, 7)","(37, 6)","(37, 5)","(37, 4)","(36, 4)","(35, 4)","(34, 4)","(33, 4)","(33, 3)","(32, 3)","(31, 3)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(26, 4)","(26, 5)","(26, 6)","(26, 7)","(26, 8)","(25, 8)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(21, 9)","(20, 9)","(19, 9)","(18, 9)","(18, 8)","(18, 7)","(17, 7)","(16, 7)","(16, 8)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(10, 10)","(10, 11)","(10, 10)","(10, 9)","(9, 9)","(9, 8)","(8, 8)","(8, 7)","(7, 7)","(6, 7)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(37, 11)","(37, 12)","(37, 13)","(37, 14)","(37, 15)","(37, 16)","(37, 17)","(37, 18)","(36, 18)","(35, 18)","(35, 19)","(35, 20)","(34, 20)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(28, 18)","(27, 18)","(26, 18)","(25, 18)","(25, 17)","(25, 16)","(25, 15)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(13, 13)","(12, 13)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(4, 14)","(3, 14)","(3, 13)","(2, 13)","(2, 12)","(2, 11)","(2, 10)","(2, 9)","(1, 9)","(1, 8)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(38, 10)","(38, 9)","(38, 8)","(38, 7)","(38, 6)","(37, 6)","(36, 6)","(35, 6)","(35, 5)","(35, 4)","(35, 3)","(35, 2)","(34, 2)","(33, 2)","(32, 2)","(31, 2)","(30, 2)","(30, 3)","(30, 4)","(29, 4)","(28, 4)","(27, 4)","(26, 4)","(25, 4)","(24, 4)","(23, 4)","(23, 3)","(22, 3)","(21, 3)","(20, 3)","(20, 4)","(19, 4)","(19, 5)","(18, 5)","(17, 5)","(16, 5)","(16, 6)","(16, 7)","(16, 8)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(12, 10)","(12, 11)","(11, 11)","(11, 10)","(10, 10)","(10, 9)","(9, 9)","(9, 8)","(8, 8)","(8, 7)","(7, 7)","(6, 7)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
3,11,7,"(39, 11)","(38, 11)","(37, 11)","(36, 11)","(36, 12)","(36, 13)","(36, 14)","(36, 15)","(36, 16)","(36, 17)","(36, 18)","(36, 19)","(36, 20)","(36, 21)","(36, 20)","(36, 19)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(29, 18)","(29, 17)","(28, 17)","(27, 17)","(27, 16)","(27, 15)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(24, 13)","(24, 12)","(24, 11)","(24, 10)","(23, 10)","(22, 10)","(21, 10)","(20, 10)","(20, 9)","(19, 9)","(18, 9)","(17, 9)","(16, 9)","(15, 9)","(14, 9)","(13, 9)","(12, 9)","(11, 9)","(10, 9)","(9, 9)","(8, 9)","(8, 8)","(8, 7)","(7, 7)","(6, 7)","(5, 7)","(4, 7)","(3, 7)","(2, 7)","(1, 7)","(0, 7)",,,,,
