warehouse_id,source_id,destination_id,time=0,time=1,time=2,time=3,time=4,time=5,time=6,time=7,time=8,time=9,time=10,time=11,time=12,time=13,time=14,time=15,time=16,time=17,time=18,time=19,time=20,time=21,time=22,time=23,time=24,time=25,time=26,time=27,time=28,time=29,time=30,time=31,time=32,time=33,time=34,time=35,time=36,time=37,time=38,time=39,time=40,time=41,time=42,time=43,time=44,time=45,time=46,time=47,time=48,time=49,time=50,time=51,time=52,time=53,time=54,time=55,time=56,time=57,time=58,time=59,time=60,time=61,time=62,time=63,time=64,time=65
3,20,18,"(39, 20)","(38, 20)","(37, 20)","(37, 19)","(37, 18)","(37, 17)","(36, 17)","(35, 17)","(35, 16)","(35, 15)","(35, 14)","(35, 13)","(35, 12)","(35, 11)","(35, 10)","(34, 10)","(33, 10)","(33, 9)","(32, 9)","(31, 9)","(31, 10)","(31, 11)","(30, 11)","(30, 12)","(30, 13)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(8, 15)","(8, 16)","(8, 17)","(7, 17)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(37, 20)","(36, 20)","(36, 21)","(36, 22)","(36, 23)","(36, 24)","(36, 25)","(36, 26)","(36, 27)","(36, 28)","(36, 29)","(35, 29)","(34, 29)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(29, 28)","(28, 28)","(27, 28)","(27, 27)","(26, 27)","(26, 26)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(24, 23)","(23, 23)","(23, 22)","(22, 22)","(21, 22)","(21, 21)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(38, 25)","(38, 26)","(37, 26)","(36, 26)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(35, 19)","(35, 18)","(35, 17)","(35, 16)","(35, 17)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 21)","(38, 22)","(37, 22)","(36, 22)","(35, 22)","(34, 22)","(33, 22)","(32, 22)","(31, 22)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(21, 23)","(21, 22)","(21, 21)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(14, 20)","(14, 21)","(14, 22)","(14, 23)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(10, 24)","(9, 24)","(8, 24)","(7, 24)","(6, 24)","(5, 24)","(4, 24)","(3, 24)","(2, 24)","(2, 23)","(1, 23)","(1, 22)","(1, 21)","(1, 20)","(1, 19)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 21)","(37, 21)","(37, 22)","(37, 23)","(37, 24)","(37, 25)","(37, 26)","(37, 27)","(37, 28)","(37, 29)","(36, 29)","(36, 28)","(35, 28)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(34, 24)","(34, 23)","(33, 23)","(33, 22)","(32, 22)","(32, 21)","(32, 20)","(31, 20)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 19)","(37, 19)","(36, 19)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(32, 20)","(32, 21)","(31, 21)","(31, 20)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(23, 20)","(23, 21)","(22, 21)","(21, 21)","(20, 21)","(20, 22)","(20, 23)","(20, 24)","(19, 24)","(18, 24)","(17, 24)","(16, 24)","(15, 24)","(15, 25)","(15, 26)","(15, 25)","(15, 24)","(14, 24)","(13, 24)","(12, 24)","(11, 24)","(11, 23)","(11, 22)","(10, 22)","(10, 21)","(10, 20)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 19)","(37, 19)","(36, 19)","(36, 20)","(36, 21)","(36, 22)","(36, 23)","(36, 24)","(36, 25)","(36, 26)","(36, 27)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(35, 23)","(35, 22)","(35, 21)","(35, 20)","(35, 19)","(35, 18)","(35, 19)","(34, 19)","(33, 19)","(32, 19)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 19)","(38, 18)","(38, 17)","(38, 16)","(38, 15)","(38, 14)","(37, 14)","(36, 14)","(35, 14)","(34, 14)","(33, 14)","(32, 14)","(31, 14)","(31, 13)","(31, 12)","(31, 11)","(31, 10)","(30, 10)","(30, 9)","(29, 9)","(28, 9)","(27, 9)","(26, 9)","(25, 9)","(24, 9)","(23, 9)","(22, 9)","(22, 10)","(21, 10)","(20, 10)","(20, 11)","(20, 12)","(20, 13)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(9, 15)","(9, 16)","(9, 17)","(8, 17)","(7, 17)","(6, 17)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(37, 24)","(36, 24)","(35, 24)","(34, 24)","(33, 24)","(33, 23)","(33, 22)","(33, 21)","(32, 21)","(31, 21)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(29, 25)","(28, 25)","(28, 26)","(27, 26)","(26, 26)","(26, 25)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(23, 23)","(23, 22)","(22, 22)","(21, 22)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(37, 23)","(36, 23)","(36, 24)","(36, 25)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(34, 29)","(33, 29)","(32, 29)","(31, 29)","(30, 29)","(29, 29)","(28, 29)","(27, 29)","(26, 29)","(26, 28)","(25, 28)","(25, 27)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(24, 23)","(23, 23)","(23, 22)","(22, 22)","(21, 22)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 21)","(37, 21)","(36, 21)","(36, 20)","(35, 20)","(34, 20)","(33, 20)","(32, 20)","(32, 21)","(32, 22)","(31, 22)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(28, 25)","(27, 25)","(26, 25)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(23, 23)","(23, 22)","(23, 21)","(23, 20)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(19, 18)","(19, 17)","(18, 17)","(17, 17)","(16, 17)","(15, 17)","(15, 18)","(15, 19)","(14, 19)","(14, 20)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(37, 23)","(36, 23)","(35, 23)","(34, 23)","(33, 23)","(33, 24)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(29, 25)","(29, 26)","(29, 27)","(29, 28)","(29, 29)","(29, 28)","(28, 28)","(28, 27)","(27, 27)","(27, 26)","(27, 25)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(24, 23)","(24, 22)","(24, 21)","(24, 20)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(6, 19)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(37, 20)","(36, 20)","(35, 20)","(34, 20)","(34, 19)","(33, 19)","(33, 20)","(33, 21)","(33, 22)","(33, 23)","(33, 24)","(32, 24)","(32, 23)","(32, 22)","(32, 21)","(32, 20)","(31, 20)","(30, 20)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(30, 23)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 19)","(38, 18)","(38, 17)","(37, 17)","(36, 17)","(36, 18)","(36, 19)","(36, 20)","(36, 21)","(35, 21)","(34, 21)","(34, 20)","(34, 19)","(33, 19)","(33, 20)","(33, 21)","(33, 22)","(33, 23)","(33, 24)","(32, 24)","(31, 24)","(31, 23)","(31, 22)","(30, 22)","(30, 21)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 19)","(38, 18)","(38, 17)","(38, 16)","(38, 15)","(38, 14)","(37, 14)","(36, 14)","(35, 14)","(34, 14)","(33, 14)","(33, 13)","(33, 12)","(33, 11)","(33, 10)","(33, 9)","(32, 9)","(32, 10)","(32, 11)","(31, 11)","(31, 12)","(31, 13)","(31, 14)","(30, 14)","(29, 14)","(28, 14)","(27, 14)","(26, 14)","(25, 14)","(24, 14)","(23, 14)","(22, 14)","(21, 14)","(20, 14)","(19, 14)","(18, 14)","(17, 14)","(16, 14)","(15, 14)","(14, 14)","(13, 14)","(12, 14)","(11, 14)","(10, 14)","(9, 14)","(8, 14)","(7, 14)","(6, 14)","(5, 14)","(5, 15)","(4, 15)","(4, 16)","(3, 16)","(2, 16)","(1, 16)","(1, 17)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(37, 20)","(37, 21)","(37, 22)","(36, 22)","(35, 22)","(34, 22)","(33, 22)","(33, 23)","(33, 24)","(32, 24)","(32, 23)","(32, 22)","(32, 21)","(31, 21)","(30, 21)","(30, 22)","(30, 23)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(25, 24)","(24, 24)","(23, 24)","(22, 24)","(21, 24)","(20, 24)","(20, 23)","(20, 22)","(20, 21)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(18, 18)","(18, 17)","(18, 18)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 21)","(38, 22)","(37, 22)","(36, 22)","(35, 22)","(34, 22)","(33, 22)","(33, 23)","(32, 23)","(32, 24)","(31, 24)","(30, 24)","(29, 24)","(29, 25)","(29, 26)","(29, 27)","(29, 28)","(28, 28)","(28, 29)","(27, 29)","(27, 28)","(27, 27)","(26, 27)","(25, 27)","(25, 26)","(25, 25)","(25, 24)","(24, 24)","(23, 24)","(23, 23)","(22, 23)","(22, 22)","(22, 21)","(22, 20)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(37, 20)","(36, 20)","(35, 20)","(35, 21)","(35, 22)","(35, 23)","(35, 24)","(35, 25)","(35, 26)","(35, 27)","(35, 28)","(35, 29)","(35, 28)","(35, 27)","(35, 26)","(35, 25)","(35, 24)","(34, 24)","(34, 23)","(33, 23)","(33, 22)","(33, 21)","(33, 20)","(32, 20)","(31, 20)","(31, 19)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(6, 19)","(5, 19)","(4, 19)","(3, 19)","(2, 19)","(1, 19)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(37, 20)","(37, 19)","(36, 19)","(35, 19)","(35, 20)","(35, 21)","(35, 22)","(34, 22)","(33, 22)","(33, 21)","(33, 20)","(33, 19)","(32, 19)","(31, 19)","(31, 20)","(31, 21)","(31, 22)","(31, 23)","(31, 24)","(30, 24)","(29, 24)","(28, 24)","(27, 24)","(26, 24)","(26, 25)","(26, 24)","(25, 24)","(24, 24)","(24, 23)","(24, 22)","(24, 21)","(23, 21)","(22, 21)","(22, 20)","(21, 20)","(20, 20)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(9, 18)","(8, 18)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
3,20,18,"(39, 20)","(38, 20)","(38, 21)","(38, 22)","(38, 23)","(38, 24)","(38, 25)","(38, 26)","(38, 27)","(38, 28)","(38, 29)","(37, 29)","(37, 28)","(36, 28)","(36, 27)","(36, 26)","(36, 25)","(35, 25)","(35, 24)","(34, 24)","(34, 23)","(33, 23)","(32, 23)","(32, 22)","(31, 22)","(31, 21)","(31, 20)","(30, 20)","(30, 19)","(29, 19)","(28, 19)","(27, 19)","(26, 19)","(25, 19)","(24, 19)","(23, 19)","(22, 19)","(21, 19)","(20, 19)","(19, 19)","(18, 19)","(17, 19)","(16, 19)","(15, 19)","(14, 19)","(13, 19)","(12, 19)","(11, 19)","(10, 19)","(9, 19)","(8, 19)","(7, 19)","(7, 18)","(6, 18)","(5, 18)","(4, 18)","(3, 18)","(2, 18)","(1, 18)","(0, 18)",,,,,,
