deviation_factor,midpoint
1.0,"(5, 14)"
1.0,"(5, 15)"
1.0,"(5, 16)"
1.0,"(5, 17)"
1.0,"(5, 18)"
1.0,"(6, 14)"
1.0,"(6, 15)"
1.0,"(6, 16)"
1.0,"(6, 17)"
1.0,"(6, 18)"
1.0,"(7, 14)"
1.0,"(7, 15)"
1.0,"(7, 16)"
1.0,"(7, 17)"
1.0,"(7, 18)"
1.0,"(8, 14)"
1.0,"(8, 15)"
1.0,"(8, 16)"
1.0,"(8, 17)"
1.0,"(8, 18)"
1.0,"(9, 14)"
1.0,"(9, 15)"
1.0,"(9, 16)"
1.0,"(9, 17)"
1.0,"(9, 18)"
1.0,"(10, 14)"
1.0,"(11, 14)"
1.0,"(12, 14)"
1.0,"(13, 14)"
1.0,"(14, 14)"
1.0,"(15, 14)"
1.0,"(16, 14)"
1.0,"(17, 14)"
1.0,"(18, 14)"
1.0,"(19, 14)"
1.0,"(20, 14)"
1.0,"(21, 14)"
1.0,"(22, 14)"
1.0,"(23, 14)"
1.0,"(24, 14)"
1.0,"(25, 14)"
1.0,"(26, 14)"
1.0,"(27, 14)"
1.0,"(28, 14)"
1.0,"(29, 14)"
1.0,"(30, 14)"
1.0,"(31, 14)"
1.0,"(32, 14)"
1.0,"(33, 14)"
1.0,"(34, 14)"
1.0,"(35, 14)"
1.05,"(5, 19)"
1.05,"(6, 19)"
1.05,"(7, 19)"
1.05,"(8, 19)"
1.05,"(9, 19)"
1.05,"(10, 13)"
1.05,"(10, 19)"
1.05,"(11, 13)"
1.05,"(11, 19)"
1.05,"(12, 13)"
1.05,"(12, 19)"
1.05,"(13, 13)"
1.05,"(13, 19)"
1.05,"(14, 13)"
1.05,"(14, 19)"
1.05,"(15, 15)"
1.05,"(15, 16)"
1.05,"(15, 17)"
1.05,"(15, 18)"
1.05,"(15, 19)"
1.05,"(16, 15)"
1.05,"(16, 16)"
1.05,"(16, 17)"
1.05,"(16, 18)"
1.05,"(16, 19)"
1.05,"(17, 15)"
1.05,"(17, 16)"
