deviation_factor,midpoint
1.0,"(5, 26)"
1.0,"(5, 27)"
1.0,"(5, 28)"
1.0,"(5, 29)"
1.0,"(5, 34)"
1.0,"(5, 35)"
1.0,"(5, 36)"
1.0,"(5, 37)"
1.0,"(5, 38)"
1.0,"(5, 39)"
1.0,"(6, 26)"
1.0,"(6, 27)"
1.0,"(6, 28)"
1.0,"(6, 29)"
1.0,"(6, 34)"
1.0,"(6, 35)"
1.0,"(6, 36)"
1.0,"(6, 37)"
1.0,"(6, 38)"
1.0,"(6, 39)"
1.0,"(7, 26)"
1.0,"(7, 27)"
1.0,"(7, 28)"
1.0,"(7, 29)"
1.0,"(7, 34)"
1.0,"(7, 35)"
1.0,"(7, 36)"
1.0,"(7, 37)"
1.0,"(7, 38)"
1.0,"(7, 39)"
1.0,"(8, 26)"
1.0,"(8, 27)"
1.0,"(8, 28)"
1.0,"(8, 29)"
1.0,"(8, 34)"
1.0,"(8, 35)"
1.0,"(8, 36)"
1.0,"(8, 37)"
1.0,"(8, 38)"
1.0,"(8, 39)"
1.0,"(9, 26)"
1.0,"(9, 27)"
1.0,"(9, 28)"
1.0,"(9, 29)"
1.0,"(9, 34)"
1.0,"(9, 35)"
1.0,"(9, 36)"
1.0,"(9, 37)"
1.0,"(9, 38)"
1.0,"(9, 39)"
1.0,"(10, 29)"
1.0,"(10, 30)"
1.0,"(10, 31)"
1.0,"(10, 32)"
1.0,"(10, 33)"
1.0,"(10, 34)"
1.0,"(10, 39)"
1.0,"(11, 29)"
1.0,"(11, 30)"
1.0,"(11, 31)"
1.0,"(11, 32)"
1.0,"(11, 33)"
1.0,"(11, 34)"
1.0,"(11, 39)"
1.0,"(12, 29)"
1.0,"(12, 30)"
1.0,"(12, 31)"
1.0,"(12, 32)"
1.0,"(12, 33)"
1.0,"(12, 34)"
1.0,"(12, 39)"
1.0,"(13, 29)"
1.0,"(13, 30)"
1.0,"(13, 31)"
1.0,"(13, 32)"
1.0,"(13, 33)"
1.0,"(13, 34)"
1.0,"(13, 39)"
1.0,"(14, 29)"
1.0,"(14, 30)"
1.0,"(14, 31)"
1.0,"(14, 32)"
1.0,"(14, 33)"
1.0,"(14, 34)"
1.0,"(14, 39)"
1.0,"(15, 29)"
1.0,"(15, 34)"
1.0,"(15, 35)"
1.0,"(15, 36)"
1.0,"(15, 37)"
1.0,"(15, 38)"
1.0,"(15, 39)"
1.0,"(16, 29)"
1.0,"(16, 34)"
1.0,"(16, 35)"
1.0,"(16, 36)"
1.0,"(16, 37)"
1.0,"(16, 38)"
1.0,"(16, 39)"
1.0,"(17, 29)"
1.0,"(17, 34)"
1.0,"(17, 35)"
1.0,"(17, 36)"
1.0,"(17, 37)"
1.0,"(17, 38)"
1.0,"(17, 39)"
1.0,"(18, 29)"
1.0,"(18, 34)"
1.0,"(18, 35)"
1.0,"(18, 36)"
1.0,"(18, 37)"
1.0,"(18, 38)"
1.0,"(18, 39)"
1.0,"(19, 29)"
1.0,"(19, 34)"
1.0,"(19, 35)"
1.0,"(19, 36)"
1.0,"(19, 37)"
1.0,"(19, 38)"
1.0,"(19, 39)"
1.0,"(20, 29)"
1.0,"(20, 30)"
1.0,"(20, 31)"
1.0,"(20, 32)"
1.0,"(20, 33)"
1.0,"(20, 34)"
1.0,"(20, 39)"
1.0,"(21, 29)"
1.0,"(21, 30)"
1.0,"(21, 31)"
1.0,"(21, 32)"
1.0,"(21, 33)"
1.0,"(21, 34)"
1.0,"(21, 39)"
1.0,"(22, 29)"
1.0,"(22, 30)"
1.0,"(22, 31)"
1.0,"(22, 32)"
1.0,"(22, 33)"
1.0,"(22, 34)"
1.0,"(22, 39)"
1.0,"(23, 29)"
1.0,"(23, 30)"
1.0,"(23, 31)"
1.0,"(23, 32)"
1.0,"(23, 33)"
1.0,"(23, 34)"
1.0,"(23, 39)"
1.0,"(24, 29)"
1.0,"(24, 30)"
1.0,"(24, 31)"
1.0,"(24, 32)"
1.0,"(24, 33)"
1.0,"(24, 34)"
1.0,"(24, 39)"
1.0,"(25, 29)"
1.0,"(25, 34)"
1.0,"(25, 35)"
1.0,"(25, 36)"
1.0,"(25, 37)"
1.0,"(25, 38)"
1.0,"(25, 39)"
1.0,"(26, 29)"
1.0,"(26, 34)"
1.0,"(26, 35)"
1.0,"(26, 36)"
1.0,"(26, 37)"
1.0,"(26, 38)"
1.0,"(26, 39)"
1.0,"(27, 29)"
1.0,"(27, 34)"
1.0,"(27, 35)"
1.0,"(27, 36)"
1.0,"(27, 37)"
1.0,"(27, 38)"
1.0,"(27, 39)"
1.0,"(28, 29)"
