deviation_factor,midpoint
1.0,"(5, 34)"
1.0,"(6, 34)"
1.0,"(7, 34)"
1.0,"(8, 34)"
1.0,"(9, 34)"
1.0,"(10, 34)"
1.0,"(11, 34)"
1.0,"(12, 34)"
1.0,"(13, 34)"
1.0,"(14, 34)"
1.0,"(15, 34)"
1.0,"(16, 34)"
1.0,"(17, 34)"
1.0,"(18, 34)"
1.0,"(19, 34)"
1.0,"(20, 34)"
1.0,"(21, 34)"
1.0,"(22, 34)"
1.0,"(23, 34)"
1.0,"(24, 34)"
1.0,"(25, 34)"
1.0,"(26, 34)"
1.0,"(27, 34)"
1.0,"(28, 34)"
1.0,"(29, 34)"
1.0,"(30, 34)"
1.0,"(31, 34)"
1.0,"(32, 34)"
1.0,"(33, 34)"
1.0,"(34, 34)"
1.0,"(35, 34)"
1.0,"(35, 35)"
1.0,"(35, 36)"
1.0,"(35, 37)"
1.0,"(35, 38)"
1.04,"(5, 35)"
1.04,"(5, 36)"
1.04,"(5, 37)"
1.04,"(5, 38)"
1.04,"(5, 39)"
1.04,"(6, 35)"
1.04,"(6, 36)"
1.04,"(6, 37)"
1.04,"(6, 38)"
1.04,"(6, 39)"
1.04,"(7, 35)"
1.04,"(7, 36)"
1.04,"(7, 37)"
1.04,"(7, 38)"
1.04,"(7, 39)"
1.04,"(8, 35)"
1.04,"(8, 36)"
1.04,"(8, 37)"
1.04,"(8, 38)"
1.04,"(8, 39)"
1.04,"(9, 35)"
1.04,"(9, 36)"
1.04,"(9, 37)"
1.04,"(9, 38)"
1.04,"(9, 39)"
1.04,"(10, 33)"
1.04,"(10, 39)"
1.04,"(11, 33)"
1.04,"(11, 39)"
1.04,"(12, 33)"
1.04,"(12, 39)"
1.04,"(13, 33)"
1.04,"(13, 39)"
1.04,"(14, 33)"
1.04,"(14, 39)"
1.04,"(15, 35)"
1.04,"(15, 36)"
1.04,"(15, 37)"
1.04,"(15, 38)"
1.04,"(15, 39)"
1.04,"(16, 35)"
1.04,"(16, 36)"
1.04,"(16, 37)"
1.04,"(16, 38)"
1.04,"(16, 39)"
1.04,"(17, 35)"
1.04,"(17, 36)"
1.04,"(17, 37)"
1.04,"(17, 38)"
1.04,"(17, 39)"
1.04,"(18, 35)"
1.04,"(18, 36)"
1.04,"(18, 37)"
1.04,"(18, 38)"
1.04,"(18, 39)"
1.04,"(19, 35)"
1.04,"(19, 36)"
1.04,"(19, 37)"
1.04,"(19, 38)"
1.04,"(19, 39)"
1.04,"(20, 33)"
1.04,"(20, 39)"
1.04,"(21, 33)"
1.04,"(21, 39)"
1.04,"(22, 33)"
1.04,"(22, 39)"
1.04,"(23, 33)"
1.04,"(23, 39)"
1.04,"(24, 33)"
1.04,"(24, 39)"
1.04,"(25, 35)"
1.04,"(25, 36)"
1.04,"(25, 37)"
1.04,"(25, 38)"
1.04,"(25, 39)"
1.04,"(26, 35)"
1.04,"(26, 36)"
1.04,"(26, 37)"
1.04,"(26, 38)"
1.04,"(26, 39)"
1.04,"(27, 35)"
1.04,"(27, 36)"
1.04,"(27, 37)"
1.04,"(27, 38)"
1.04,"(27, 39)"
1.04,"(28, 35)"
1.04,"(28, 36)"
1.04,"(28, 37)"
1.04,"(28, 38)"
1.04,"(28, 39)"
1.04,"(29, 35)"
1.04,"(29, 36)"
1.04,"(29, 37)"
1.04,"(29, 38)"
1.04,"(29, 39)"
1.04,"(30, 33)"
1.04,"(30, 39)"
1.04,"(31, 33)"
1.04,"(31, 39)"
1.04,"(32, 33)"
1.04,"(32, 39)"
1.04,"(33, 33)"
1.04,"(33, 39)"
1.04,"(34, 33)"
1.04,"(34, 39)"
1.04,"(35, 33)"
1.04,"(35, 39)"
1.09,"(10, 32)"
1.09,"(11, 32)"
1.09,"(12, 32)"
1.09,"(13, 32)"
1.09,"(14, 32)"
1.09,"(20, 32)"
1.09,"(21, 32)"
1.09,"(22, 32)"
1.09,"(23, 32)"
1.09,"(24, 32)"
1.09,"(30, 32)"
1.09,"(31, 32)"
1.09,"(32, 32)"
1.09,"(33, 32)"
1.09,"(34, 32)"
1.09,"(35, 32)"
1.13,"(5, 29)"
1.13,"(6, 29)"
1.13,"(7, 29)"
1.13,"(8, 29)"
1.13,"(9, 29)"
1.13,"(10, 29)"
1.13,"(10, 30)"
1.13,"(10, 31)"
1.13,"(11, 29)"
1.13,"(11, 30)"
1.13,"(11, 31)"
1.13,"(12, 29)"
1.13,"(12, 30)"
1.13,"(12, 31)"
1.13,"(13, 29)"
1.13,"(13, 30)"
1.13,"(13, 31)"
1.13,"(14, 29)"
1.13,"(14, 30)"
1.13,"(14, 31)"
1.13,"(15, 29)"
1.13,"(16, 29)"
1.13,"(17, 29)"
1.13,"(18, 29)"
1.13,"(19, 29)"
1.13,"(20, 29)"
1.13,"(20, 30)"
1.13,"(20, 31)"
1.13,"(21, 29)"
1.13,"(21, 30)"
1.13,"(21, 31)"
1.13,"(22, 29)"
1.13,"(22, 30)"
1.13,"(22, 31)"
1.13,"(23, 29)"
1.13,"(23, 30)"
1.13,"(23, 31)"
1.13,"(24, 29)"
1.13,"(24, 30)"
1.13,"(24, 31)"
1.13,"(25, 29)"
1.13,"(26, 29)"
1.13,"(27, 29)"
1.13,"(28, 29)"
1.13,"(29, 29)"
1.13,"(30, 29)"
1.13,"(30, 30)"
1.13,"(30, 31)"
1.13,"(31, 29)"
1.13,"(31, 30)"
1.13,"(31, 31)"
1.13,"(32, 29)"
1.13,"(32, 30)"
1.13,"(32, 31)"
1.13,"(33, 29)"
1.13,"(33, 30)"
1.13,"(33, 31)"
1.13,"(34, 29)"
1.13,"(34, 30)"
1.13,"(34, 31)"
1.13,"(35, 29)"
1.13,"(35, 30)"
1.13,"(35, 31)"
1.18,"(5, 28)"
1.18,"(6, 28)"
1.18,"(7, 28)"
1.18,"(8, 28)"
1.18,"(9, 28)"
1.18,"(15, 28)"
1.18,"(16, 28)"
1.18,"(17, 28)"
1.18,"(18, 28)"
1.18,"(19, 28)"
1.18,"(25, 28)"
1.18,"(26, 28)"
1.18,"(27, 28)"
1.18,"(28, 28)"
1.18,"(29, 28)"
1.18,"(35, 28)"
1.22,"(5, 27)"
1.22,"(6, 27)"
1.22,"(7, 27)"
1.22,"(8, 27)"
1.22,"(9, 27)"
1.22,"(15, 27)"
1.22,"(16, 27)"
1.22,"(17, 27)"
1.22,"(18, 27)"
1.22,"(19, 27)"
1.22,"(25, 27)"
1.22,"(26, 27)"
1.22,"(27, 27)"
1.22,"(28, 27)"
1.22,"(29, 27)"
1.22,"(35, 27)"
1.27,"(5, 26)"
1.27,"(6, 26)"
1.27,"(7, 26)"
1.27,"(8, 26)"
1.27,"(9, 26)"
1.27,"(15, 26)"
1.27,"(16, 26)"
1.27,"(17, 26)"
1.27,"(18, 26)"
1.27,"(19, 26)"
1.27,"(25, 26)"
1.27,"(26, 26)"
1.27,"(27, 26)"
1.27,"(28, 26)"
1.27,"(29, 26)"
1.27,"(35, 26)"
1.31,"(5, 25)"
1.31,"(6, 25)"
1.31,"(7, 25)"
1.31,"(8, 25)"
1.31,"(9, 25)"
1.31,"(15, 25)"
1.31,"(16, 25)"
1.31,"(17, 25)"
1.31,"(18, 25)"
1.31,"(19, 25)"
1.31,"(25, 25)"
1.31,"(26, 25)"
1.31,"(27, 25)"
1.31,"(28, 25)"
1.31,"(29, 25)"
1.31,"(35, 25)"
1.36,"(5, 24)"
1.36,"(6, 24)"
1.36,"(7, 24)"
1.36,"(8, 24)"
1.36,"(9, 24)"
1.36,"(10, 24)"
1.36,"(11, 24)"
1.36,"(12, 24)"
1.36,"(13, 24)"
1.36,"(14, 24)"
1.36,"(15, 24)"
1.36,"(16, 24)"
1.36,"(17, 24)"
1.36,"(18, 24)"
1.36,"(19, 24)"
1.36,"(20, 24)"
1.36,"(21, 24)"
1.36,"(22, 24)"
1.36,"(23, 24)"
1.36,"(24, 24)"
1.36,"(25, 24)"
1.36,"(26, 24)"
1.36,"(27, 24)"
1.36,"(28, 24)"
1.36,"(29, 24)"
1.36,"(30, 24)"
1.36,"(31, 24)"
1.36,"(32, 24)"
1.36,"(33, 24)"
1.36,"(34, 24)"
1.36,"(35, 24)"
1.4,"(10, 23)"
1.4,"(11, 23)"
1.4,"(12, 23)"
1.4,"(13, 23)"
1.4,"(14, 23)"
1.4,"(20, 23)"
1.4,"(21, 23)"
1.4,"(22, 23)"
1.4,"(23, 23)"
1.4,"(24, 23)"
1.4,"(30, 23)"
1.4,"(31, 23)"
1.4,"(32, 23)"
1.4,"(33, 23)"
1.4,"(34, 23)"
1.4,"(35, 23)"
1.44,"(10, 22)"
1.44,"(11, 22)"
1.44,"(12, 22)"
1.44,"(13, 22)"
1.44,"(14, 22)"
1.44,"(20, 22)"
1.44,"(21, 22)"
1.44,"(22, 22)"
1.44,"(23, 22)"
1.44,"(24, 22)"
1.44,"(30, 22)"
1.44,"(31, 22)"
1.44,"(32, 22)"
1.44,"(33, 22)"
1.44,"(34, 22)"
1.44,"(35, 22)"
1.49,"(10, 21)"
1.49,"(11, 21)"
1.49,"(12, 21)"
1.49,"(13, 21)"
1.49,"(14, 21)"
1.49,"(20, 21)"
1.49,"(21, 21)"
1.49,"(22, 21)"
1.49,"(23, 21)"
1.49,"(24, 21)"
1.49,"(30, 21)"
1.49,"(31, 21)"
1.49,"(32, 21)"
1.49,"(33, 21)"
1.49,"(34, 21)"
1.49,"(35, 21)"
1.53,"(10, 20)"
1.53,"(11, 20)"
1.53,"(12, 20)"
1.53,"(13, 20)"
1.53,"(14, 20)"
1.53,"(20, 20)"
1.53,"(21, 20)"
1.53,"(22, 20)"
1.53,"(23, 20)"
1.53,"(24, 20)"
1.53,"(30, 20)"
1.53,"(31, 20)"
1.53,"(32, 20)"
1.53,"(33, 20)"
1.53,"(34, 20)"
1.53,"(35, 20)"
1.58,"(5, 19)"
