deviation_factor,midpoint
1.0,"(5, 34)"
1.0,"(5, 35)"
1.0,"(6, 34)"
1.0,"(6, 35)"
1.0,"(7, 34)"
1.0,"(7, 35)"
1.0,"(8, 34)"
1.0,"(8, 35)"
1.0,"(9, 34)"
1.0,"(9, 35)"
1.0,"(10, 34)"
1.0,"(11, 34)"
1.0,"(12, 34)"
1.0,"(13, 34)"
1.0,"(14, 34)"
1.0,"(15, 34)"
1.0,"(16, 34)"
1.0,"(17, 34)"
1.0,"(18, 34)"
1.0,"(19, 34)"
1.0,"(20, 34)"
1.0,"(21, 34)"
1.0,"(22, 34)"
1.0,"(23, 34)"
1.0,"(24, 34)"
1.0,"(25, 34)"
1.0,"(26, 34)"
1.0,"(27, 34)"
1.0,"(28, 34)"
1.0,"(29, 34)"
1.0,"(30, 32)"
1.0,"(30, 33)"
1.0,"(30, 34)"
1.0,"(31, 32)"
1.0,"(31, 33)"
1.0,"(31, 34)"
1.0,"(32, 32)"
1.0,"(32, 33)"
1.0,"(32, 34)"
1.0,"(33, 32)"
1.0,"(33, 33)"
1.0,"(33, 34)"
1.0,"(34, 32)"
1.0,"(34, 33)"
1.0,"(34, 34)"
1.0,"(35, 32)"
1.0,"(35, 33)"
1.0,"(35, 34)"
1.05,"(5, 36)"
1.05,"(6, 36)"
1.05,"(7, 36)"
1.05,"(8, 36)"
1.05,"(9, 36)"
1.05,"(10, 33)"
1.05,"(11, 33)"
1.05,"(12, 33)"
1.05,"(13, 33)"
1.05,"(14, 33)"
1.05,"(15, 35)"
1.05,"(16, 35)"
1.05,"(17, 35)"
1.05,"(18, 35)"
1.05,"(19, 35)"
1.05,"(20, 33)"
1.05,"(21, 33)"
1.05,"(22, 33)"
1.05,"(23, 33)"
1.05,"(24, 33)"
1.05,"(25, 35)"
1.05,"(26, 35)"
1.05,"(27, 35)"
1.05,"(28, 35)"
1.05,"(29, 35)"
1.05,"(30, 31)"
1.05,"(31, 31)"
1.05,"(32, 31)"
1.05,"(33, 31)"
1.05,"(34, 31)"
1.05,"(35, 31)"
1.05,"(35, 35)"
1.1,"(5, 37)"
1.1,"(6, 37)"
1.1,"(7, 37)"
1.1,"(8, 37)"
1.1,"(9, 37)"
1.1,"(10, 32)"
1.1,"(11, 32)"
1.1,"(12, 32)"
1.1,"(13, 32)"
1.1,"(14, 32)"
1.1,"(15, 36)"
1.1,"(16, 36)"
1.1,"(17, 36)"
1.1,"(18, 36)"
1.1,"(19, 36)"
1.1,"(20, 32)"
1.1,"(21, 32)"
1.1,"(22, 32)"
1.1,"(23, 32)"
1.1,"(24, 32)"
