deviation_factor,midpoint
1.0,"(5, 27)"
1.0,"(5, 28)"
1.0,"(5, 29)"
1.0,"(6, 27)"
1.0,"(6, 28)"
1.0,"(6, 29)"
1.0,"(7, 27)"
1.0,"(7, 28)"
1.0,"(7, 29)"
1.0,"(8, 27)"
1.0,"(8, 28)"
1.0,"(8, 29)"
1.0,"(9, 27)"
1.0,"(9, 28)"
1.0,"(9, 29)"
1.0,"(10, 29)"
1.0,"(11, 29)"
1.0,"(12, 29)"
1.0,"(13, 29)"
1.0,"(14, 29)"
1.0,"(15, 29)"
1.0,"(16, 29)"
1.0,"(17, 29)"
1.0,"(18, 29)"
1.0,"(19, 29)"
1.0,"(20, 29)"
1.0,"(21, 29)"
1.0,"(22, 29)"
1.0,"(23, 29)"
1.0,"(24, 29)"
1.0,"(25, 29)"
1.0,"(26, 29)"
1.0,"(27, 29)"
1.0,"(28, 29)"
1.0,"(29, 29)"
1.0,"(30, 29)"
1.0,"(30, 30)"
1.0,"(30, 31)"
1.0,"(30, 32)"
1.0,"(30, 33)"
1.0,"(31, 29)"
1.0,"(31, 30)"
1.0,"(31, 31)"
1.0,"(31, 32)"
1.0,"(31, 33)"
1.0,"(32, 29)"
1.0,"(32, 30)"
1.0,"(32, 31)"
1.0,"(32, 32)"
1.0,"(32, 33)"
1.0,"(33, 29)"
1.0,"(33, 30)"
1.0,"(33, 31)"
1.0,"(33, 32)"
1.0,"(33, 33)"
1.0,"(34, 29)"
1.0,"(34, 30)"
1.0,"(34, 31)"
1.0,"(34, 32)"
1.0,"(34, 33)"
1.0,"(35, 29)"
1.0,"(35, 30)"
1.0,"(35, 31)"
1.0,"(35, 32)"
1.0,"(35, 33)"
1.04,"(5, 26)"
1.04,"(5, 34)"
1.04,"(6, 26)"
1.04,"(6, 34)"
1.04,"(7, 26)"
1.04,"(7, 34)"
1.04,"(8, 26)"
1.04,"(8, 34)"
1.04,"(9, 26)"
1.04,"(9, 34)"
1.04,"(10, 30)"
1.04,"(10, 31)"
1.04,"(10, 32)"
1.04,"(10, 33)"
1.04,"(10, 34)"
1.04,"(11, 30)"
1.04,"(11, 31)"
1.04,"(11, 32)"
1.04,"(11, 33)"
1.04,"(11, 34)"
1.04,"(12, 30)"
1.04,"(12, 31)"
1.04,"(12, 32)"
1.04,"(12, 33)"
1.04,"(12, 34)"
1.04,"(13, 30)"
1.04,"(13, 31)"
1.04,"(13, 32)"
1.04,"(13, 33)"
1.04,"(13, 34)"
1.04,"(14, 30)"
1.04,"(14, 31)"
1.04,"(14, 32)"
1.04,"(14, 33)"
1.04,"(14, 34)"
1.04,"(15, 28)"
1.04,"(15, 34)"
1.04,"(16, 28)"
1.04,"(16, 34)"
1.04,"(17, 28)"
1.04,"(17, 34)"
1.04,"(18, 28)"
1.04,"(18, 34)"
1.04,"(19, 28)"
1.04,"(19, 34)"
1.04,"(20, 30)"
1.04,"(20, 31)"
1.04,"(20, 32)"
1.04,"(20, 33)"
1.04,"(20, 34)"
1.04,"(21, 30)"
1.04,"(21, 31)"
1.04,"(21, 32)"
1.04,"(21, 33)"
1.04,"(21, 34)"
1.04,"(22, 30)"
1.04,"(22, 31)"
1.04,"(22, 32)"
1.04,"(22, 33)"
1.04,"(22, 34)"
1.04,"(23, 30)"
1.04,"(23, 31)"
1.04,"(23, 32)"
1.04,"(23, 33)"
1.04,"(23, 34)"
1.04,"(24, 30)"
1.04,"(24, 31)"
1.04,"(24, 32)"
1.04,"(24, 33)"
1.04,"(24, 34)"
1.04,"(25, 28)"
1.04,"(25, 34)"
1.04,"(26, 28)"
1.04,"(26, 34)"
1.04,"(27, 28)"
1.04,"(27, 34)"
1.04,"(28, 28)"
1.04,"(28, 34)"
1.04,"(29, 28)"
1.04,"(29, 34)"
1.04,"(30, 34)"
1.04,"(31, 34)"
1.04,"(32, 34)"
1.04,"(33, 34)"
1.04,"(34, 34)"
1.04,"(35, 28)"
1.04,"(35, 34)"
1.09,"(5, 25)"
1.09,"(5, 35)"
1.09,"(6, 25)"
1.09,"(6, 35)"
1.09,"(7, 25)"
1.09,"(7, 35)"
1.09,"(8, 25)"
1.09,"(8, 35)"
1.09,"(9, 25)"
1.09,"(9, 35)"
1.09,"(15, 27)"
1.09,"(15, 35)"
1.09,"(16, 27)"
1.09,"(16, 35)"
1.09,"(17, 27)"
1.09,"(17, 35)"
1.09,"(18, 27)"
1.09,"(18, 35)"
1.09,"(19, 27)"
1.09,"(19, 35)"
1.09,"(25, 27)"
1.09,"(25, 35)"
1.09,"(26, 27)"
1.09,"(26, 35)"
1.09,"(27, 27)"
1.09,"(27, 35)"
1.09,"(28, 27)"
1.09,"(28, 35)"
1.09,"(29, 27)"
1.09,"(29, 35)"
1.09,"(35, 27)"
1.09,"(35, 35)"
1.13,"(5, 24)"
1.13,"(5, 36)"
1.13,"(6, 24)"
1.13,"(6, 36)"
1.13,"(7, 24)"
1.13,"(7, 36)"
1.13,"(8, 24)"
1.13,"(8, 36)"
1.13,"(9, 24)"
1.13,"(9, 36)"
1.13,"(10, 24)"
1.13,"(11, 24)"
1.13,"(12, 24)"
1.13,"(13, 24)"
1.13,"(14, 24)"
1.13,"(15, 24)"
1.13,"(15, 25)"
1.13,"(15, 26)"
1.13,"(15, 36)"
1.13,"(16, 24)"
1.13,"(16, 25)"
1.13,"(16, 26)"
1.13,"(16, 36)"
1.13,"(17, 24)"
