deviation_factor,midpoint
1.0,"(5, 4)"
1.0,"(5, 5)"
1.0,"(5, 6)"
1.0,"(5, 7)"
1.0,"(5, 8)"
1.0,"(5, 9)"
1.0,"(5, 14)"
1.0,"(5, 15)"
1.0,"(5, 16)"
1.0,"(5, 17)"
1.0,"(5, 18)"
1.0,"(5, 19)"
1.0,"(6, 4)"
1.0,"(6, 5)"
1.0,"(6, 6)"
1.0,"(6, 7)"
1.0,"(6, 8)"
1.0,"(6, 9)"
1.0,"(6, 14)"
1.0,"(6, 15)"
1.0,"(6, 16)"
1.0,"(6, 17)"
1.0,"(6, 18)"
1.0,"(6, 19)"
1.0,"(7, 4)"
1.0,"(7, 5)"
1.0,"(7, 6)"
1.0,"(7, 7)"
1.0,"(7, 8)"
1.0,"(7, 9)"
1.0,"(7, 14)"
1.0,"(7, 15)"
1.0,"(7, 16)"
1.0,"(7, 17)"
1.0,"(7, 18)"
1.0,"(7, 19)"
1.0,"(8, 4)"
1.0,"(8, 5)"
1.0,"(8, 6)"
1.0,"(8, 7)"
1.0,"(8, 8)"
1.0,"(8, 9)"
1.0,"(8, 14)"
1.0,"(8, 15)"
1.0,"(8, 16)"
1.0,"(8, 17)"
1.0,"(8, 18)"
1.0,"(8, 19)"
1.0,"(9, 4)"
1.0,"(9, 5)"
1.0,"(9, 6)"
1.0,"(9, 7)"
1.0,"(9, 8)"
1.0,"(9, 9)"
1.0,"(9, 14)"
1.0,"(9, 15)"
1.0,"(9, 16)"
1.0,"(9, 17)"
1.0,"(9, 18)"
1.0,"(9, 19)"
1.0,"(10, 4)"
1.0,"(10, 9)"
1.0,"(10, 10)"
1.0,"(10, 11)"
1.0,"(10, 12)"
1.0,"(10, 13)"
1.0,"(10, 14)"
1.0,"(10, 19)"
1.0,"(11, 4)"
1.0,"(11, 9)"
1.0,"(11, 10)"
1.0,"(11, 11)"
1.0,"(11, 12)"
1.0,"(11, 13)"
1.0,"(11, 14)"
1.0,"(11, 19)"
1.0,"(12, 4)"
1.0,"(12, 9)"
1.0,"(12, 10)"
1.0,"(12, 11)"
1.0,"(12, 12)"
1.0,"(12, 13)"
1.0,"(12, 14)"
1.0,"(12, 19)"
1.0,"(13, 4)"
1.0,"(13, 9)"
1.0,"(13, 10)"
1.0,"(13, 11)"
1.0,"(13, 12)"
1.0,"(13, 13)"
1.0,"(13, 14)"
1.0,"(13, 19)"
1.0,"(14, 4)"
1.0,"(14, 9)"
1.0,"(14, 10)"
1.0,"(14, 11)"
1.0,"(14, 12)"
1.0,"(14, 13)"
1.0,"(14, 14)"
1.0,"(14, 19)"
1.0,"(15, 4)"
1.0,"(15, 5)"
1.0,"(15, 6)"
1.0,"(15, 7)"
1.0,"(15, 8)"
1.0,"(15, 9)"
1.0,"(15, 14)"
1.0,"(15, 15)"
1.0,"(15, 16)"
1.0,"(15, 17)"
1.0,"(15, 18)"
1.0,"(15, 19)"
1.0,"(16, 4)"
1.0,"(16, 5)"
1.0,"(16, 6)"
1.0,"(16, 7)"
1.0,"(16, 8)"
1.0,"(16, 9)"
1.0,"(16, 14)"
1.0,"(16, 15)"
1.0,"(16, 16)"
1.0,"(16, 17)"
1.0,"(16, 18)"
1.0,"(16, 19)"
1.0,"(17, 4)"
1.0,"(17, 5)"
1.0,"(17, 6)"
1.0,"(17, 7)"
1.0,"(17, 8)"
1.0,"(17, 9)"
1.0,"(17, 14)"
1.0,"(17, 15)"
1.0,"(17, 16)"
1.0,"(17, 17)"
1.0,"(17, 18)"
1.0,"(17, 19)"
1.0,"(18, 4)"
1.0,"(18, 5)"
1.0,"(18, 6)"
1.0,"(18, 7)"
1.0,"(18, 8)"
1.0,"(18, 9)"
1.0,"(18, 14)"
1.0,"(18, 15)"
1.0,"(18, 16)"
1.0,"(18, 17)"
1.0,"(18, 18)"
1.0,"(18, 19)"
1.0,"(19, 4)"
1.0,"(19, 5)"
1.0,"(19, 6)"
1.0,"(19, 7)"
1.0,"(19, 8)"
1.0,"(19, 9)"
1.0,"(19, 14)"
1.0,"(19, 15)"
1.0,"(19, 16)"
1.0,"(19, 17)"
1.0,"(19, 18)"
1.0,"(19, 19)"
1.0,"(20, 4)"
1.0,"(20, 9)"
1.0,"(20, 10)"
1.0,"(20, 11)"
1.0,"(20, 12)"
1.0,"(20, 13)"
1.0,"(20, 14)"
1.0,"(20, 19)"
1.0,"(21, 4)"
1.0,"(21, 9)"
1.0,"(21, 10)"
1.0,"(21, 11)"
1.0,"(21, 12)"
1.0,"(21, 13)"
1.0,"(21, 14)"
1.0,"(21, 19)"
1.0,"(22, 4)"
1.0,"(22, 9)"
1.0,"(22, 10)"
1.0,"(22, 11)"
1.0,"(22, 12)"
1.0,"(22, 13)"
1.0,"(22, 14)"
1.0,"(22, 19)"
1.0,"(23, 4)"
1.0,"(23, 9)"
1.0,"(23, 10)"
1.0,"(23, 11)"
1.0,"(23, 12)"
1.0,"(23, 13)"
1.0,"(23, 14)"
1.0,"(23, 19)"
1.0,"(24, 4)"
1.0,"(24, 9)"
1.0,"(24, 10)"
1.0,"(24, 11)"
1.0,"(24, 12)"
1.0,"(24, 13)"
1.0,"(24, 14)"
1.0,"(24, 19)"
1.0,"(25, 4)"
1.0,"(25, 5)"
1.0,"(25, 6)"
1.0,"(25, 7)"
1.0,"(25, 8)"
1.0,"(25, 9)"
1.0,"(25, 14)"
1.0,"(25, 15)"
1.0,"(25, 16)"
1.0,"(25, 17)"
1.0,"(25, 18)"
1.0,"(25, 19)"
1.0,"(26, 4)"
1.0,"(26, 5)"
1.0,"(26, 6)"
1.0,"(26, 7)"
1.0,"(26, 8)"
1.0,"(26, 9)"
1.0,"(26, 14)"
1.0,"(26, 15)"
1.0,"(26, 16)"
1.0,"(26, 17)"
1.0,"(26, 18)"
1.0,"(26, 19)"
1.0,"(27, 4)"
1.0,"(27, 5)"
1.0,"(27, 6)"
1.0,"(27, 7)"
1.0,"(27, 8)"
1.0,"(27, 9)"
1.0,"(27, 14)"
1.0,"(27, 15)"
1.0,"(27, 16)"
1.0,"(27, 17)"
1.0,"(27, 18)"
1.0,"(27, 19)"
1.0,"(28, 4)"
1.0,"(28, 5)"
1.0,"(28, 6)"
1.0,"(28, 7)"
1.0,"(28, 8)"
1.0,"(28, 9)"
1.0,"(28, 14)"
1.0,"(28, 15)"
1.0,"(28, 16)"
1.0,"(28, 17)"
1.0,"(28, 18)"
1.0,"(28, 19)"
1.0,"(29, 4)"
1.0,"(29, 5)"
1.0,"(29, 6)"
1.0,"(29, 7)"
1.0,"(29, 8)"
1.0,"(29, 9)"
1.0,"(29, 14)"
1.0,"(29, 15)"
1.0,"(29, 16)"
1.0,"(29, 17)"
1.0,"(29, 18)"
1.0,"(29, 19)"
1.0,"(30, 3)"
1.0,"(30, 4)"
1.0,"(30, 9)"
1.0,"(30, 10)"
1.0,"(30, 11)"
1.0,"(30, 12)"
1.0,"(30, 13)"
1.0,"(30, 14)"
1.0,"(30, 19)"
1.0,"(31, 3)"
1.0,"(31, 4)"
1.0,"(31, 9)"
1.0,"(31, 10)"
1.0,"(31, 11)"
1.0,"(31, 12)"
1.0,"(31, 13)"
1.0,"(31, 14)"
1.0,"(31, 19)"
1.0,"(32, 3)"
1.0,"(32, 4)"
1.0,"(32, 9)"
1.0,"(32, 10)"
1.0,"(32, 11)"
1.0,"(32, 12)"
1.0,"(32, 13)"
1.0,"(32, 14)"
1.0,"(32, 19)"
1.0,"(33, 3)"
1.0,"(33, 4)"
1.0,"(33, 9)"
1.0,"(33, 10)"
1.0,"(33, 11)"
1.0,"(33, 12)"
1.0,"(33, 13)"
1.0,"(33, 14)"
1.0,"(33, 19)"
1.0,"(34, 3)"
1.0,"(34, 4)"
1.0,"(34, 9)"
1.0,"(34, 10)"
1.0,"(34, 11)"
1.0,"(34, 12)"
1.0,"(34, 13)"
1.0,"(34, 14)"
1.0,"(34, 19)"
1.0,"(35, 3)"
1.0,"(35, 4)"
1.0,"(35, 5)"
1.0,"(35, 6)"
1.0,"(35, 7)"
1.0,"(35, 8)"
1.0,"(35, 9)"
1.0,"(35, 10)"
1.0,"(35, 11)"
1.0,"(35, 12)"
1.0,"(35, 13)"
1.0,"(35, 14)"
1.0,"(35, 15)"
1.0,"(35, 16)"
1.0,"(35, 17)"
1.0,"(35, 18)"
1.0,"(35, 19)"
1.04,"(10, 3)"
1.04,"(10, 20)"
1.04,"(11, 3)"
1.04,"(11, 20)"
1.04,"(12, 3)"
1.04,"(12, 20)"
1.04,"(13, 3)"
1.04,"(13, 20)"
1.04,"(14, 3)"
1.04,"(14, 20)"
1.04,"(20, 3)"
1.04,"(20, 20)"
1.04,"(21, 3)"
1.04,"(21, 20)"
1.04,"(22, 3)"
1.04,"(22, 20)"
1.04,"(23, 3)"
1.04,"(23, 20)"
1.04,"(24, 3)"
1.04,"(24, 20)"
1.04,"(30, 2)"
1.04,"(30, 20)"
1.04,"(31, 2)"
1.04,"(31, 20)"
1.04,"(32, 2)"
1.04,"(32, 20)"
1.04,"(33, 2)"
1.04,"(33, 20)"
1.04,"(34, 2)"
1.04,"(34, 20)"
1.04,"(35, 2)"
1.04,"(35, 20)"
1.07,"(10, 2)"
1.07,"(10, 21)"
1.07,"(11, 2)"
1.07,"(11, 21)"
1.07,"(12, 2)"
1.07,"(12, 21)"
1.07,"(13, 2)"
1.07,"(13, 21)"
1.07,"(14, 2)"
1.07,"(14, 21)"
1.07,"(20, 2)"
1.07,"(20, 21)"
1.07,"(21, 2)"
1.07,"(21, 21)"
1.07,"(22, 2)"
1.07,"(22, 21)"
1.07,"(23, 2)"
1.07,"(23, 21)"
1.07,"(24, 2)"
1.07,"(24, 21)"
1.07,"(30, 1)"
1.07,"(30, 21)"
1.07,"(31, 1)"
1.07,"(31, 21)"
1.07,"(32, 1)"
1.07,"(32, 21)"
1.07,"(33, 1)"
1.07,"(33, 21)"
1.07,"(34, 1)"
1.07,"(34, 21)"
1.07,"(35, 1)"
1.07,"(35, 21)"
1.11,"(10, 1)"
1.11,"(10, 22)"
1.11,"(11, 1)"
1.11,"(11, 22)"
1.11,"(12, 1)"
1.11,"(12, 22)"
1.11,"(13, 1)"
1.11,"(13, 22)"
1.11,"(14, 1)"
1.11,"(14, 22)"
1.11,"(20, 1)"
1.11,"(20, 22)"
1.11,"(21, 1)"
1.11,"(21, 22)"
1.11,"(22, 1)"
1.11,"(22, 22)"
1.11,"(23, 1)"
1.11,"(23, 22)"
1.11,"(24, 1)"
1.11,"(24, 22)"
1.11,"(30, 0)"
1.11,"(30, 22)"
1.11,"(31, 0)"
1.11,"(31, 22)"
1.11,"(32, 0)"
1.11,"(32, 22)"
1.11,"(33, 0)"
1.11,"(33, 22)"
1.11,"(34, 0)"
1.11,"(34, 22)"
1.11,"(35, 0)"
1.11,"(35, 22)"
1.15,"(10, 0)"
1.15,"(10, 23)"
1.15,"(11, 0)"
1.15,"(11, 23)"
1.15,"(12, 0)"
1.15,"(12, 23)"
1.15,"(13, 0)"
1.15,"(13, 23)"
1.15,"(14, 0)"
1.15,"(14, 23)"
1.15,"(20, 0)"
1.15,"(20, 23)"
1.15,"(21, 0)"
1.15,"(21, 23)"
1.15,"(22, 0)"
1.15,"(22, 23)"
1.15,"(23, 0)"
1.15,"(23, 23)"
1.15,"(24, 0)"
1.15,"(24, 23)"
1.15,"(30, 23)"
1.15,"(31, 23)"
1.15,"(32, 23)"
1.15,"(33, 23)"
1.15,"(34, 23)"
1.15,"(35, 23)"
1.18,"(5, 24)"
1.18,"(6, 24)"
1.18,"(7, 24)"
1.18,"(8, 24)"
1.18,"(9, 24)"
1.18,"(10, 24)"
