deviation_factor,midpoint
1.0,"(5, 17)"
1.0,"(5, 18)"
1.0,"(5, 19)"
1.0,"(6, 17)"
1.0,"(6, 18)"
1.0,"(6, 19)"
1.0,"(7, 17)"
1.0,"(7, 18)"
1.0,"(7, 19)"
1.0,"(8, 17)"
1.0,"(8, 18)"
1.0,"(8, 19)"
1.0,"(9, 17)"
1.0,"(9, 18)"
1.0,"(9, 19)"
1.0,"(10, 19)"
1.0,"(11, 19)"
1.0,"(12, 19)"
1.0,"(13, 19)"
1.0,"(14, 19)"
1.0,"(15, 19)"
1.0,"(16, 19)"
1.0,"(17, 19)"
1.0,"(18, 19)"
1.0,"(19, 19)"
1.0,"(20, 19)"
1.0,"(21, 19)"
1.0,"(22, 19)"
1.0,"(23, 19)"
1.0,"(24, 19)"
1.0,"(25, 19)"
1.0,"(26, 19)"
1.0,"(27, 19)"
1.0,"(28, 19)"
1.0,"(29, 19)"
1.0,"(30, 19)"
1.0,"(30, 20)"
1.0,"(30, 21)"
1.0,"(30, 22)"
1.0,"(30, 23)"
1.0,"(31, 19)"
1.0,"(31, 20)"
1.0,"(31, 21)"
1.0,"(31, 22)"
1.0,"(31, 23)"
1.0,"(32, 19)"
1.0,"(32, 20)"
1.0,"(32, 21)"
1.0,"(32, 22)"
1.0,"(32, 23)"
1.0,"(33, 19)"
1.0,"(33, 20)"
1.0,"(33, 21)"
1.0,"(33, 22)"
1.0,"(33, 23)"
1.0,"(34, 19)"
1.0,"(34, 20)"
1.0,"(34, 21)"
1.0,"(34, 22)"
1.0,"(34, 23)"
1.0,"(35, 19)"
1.0,"(35, 20)"
1.0,"(35, 21)"
1.0,"(35, 22)"
1.0,"(35, 23)"
1.04,"(5, 16)"
1.04,"(5, 24)"
1.04,"(6, 16)"
1.04,"(6, 24)"
1.04,"(7, 16)"
1.04,"(7, 24)"
1.04,"(8, 16)"
1.04,"(8, 24)"
1.04,"(9, 16)"
1.04,"(9, 24)"
1.04,"(10, 20)"
1.04,"(10, 21)"
1.04,"(10, 22)"
1.04,"(10, 23)"
1.04,"(10, 24)"
1.04,"(11, 20)"
1.04,"(11, 21)"
1.04,"(11, 22)"
1.04,"(11, 23)"
1.04,"(11, 24)"
1.04,"(12, 20)"
1.04,"(12, 21)"
1.04,"(12, 22)"
1.04,"(12, 23)"
1.04,"(12, 24)"
1.04,"(13, 20)"
1.04,"(13, 21)"
1.04,"(13, 22)"
1.04,"(13, 23)"
1.04,"(13, 24)"
1.04,"(14, 20)"
1.04,"(14, 21)"
1.04,"(14, 22)"
1.04,"(14, 23)"
1.04,"(14, 24)"
1.04,"(15, 18)"
1.04,"(15, 24)"
1.04,"(16, 18)"
1.04,"(16, 24)"
1.04,"(17, 18)"
1.04,"(17, 24)"
1.04,"(18, 18)"
1.04,"(18, 24)"
1.04,"(19, 18)"
1.04,"(19, 24)"
1.04,"(20, 20)"
1.04,"(20, 21)"
1.04,"(20, 22)"
1.04,"(20, 23)"
1.04,"(20, 24)"
1.04,"(21, 20)"
1.04,"(21, 21)"
1.04,"(21, 22)"
1.04,"(21, 23)"
1.04,"(21, 24)"
1.04,"(22, 20)"
1.04,"(22, 21)"
1.04,"(22, 22)"
1.04,"(22, 23)"
1.04,"(22, 24)"
1.04,"(23, 20)"
1.04,"(23, 21)"
1.04,"(23, 22)"
1.04,"(23, 23)"
1.04,"(23, 24)"
1.04,"(24, 20)"
1.04,"(24, 21)"
1.04,"(24, 22)"
1.04,"(24, 23)"
1.04,"(24, 24)"
1.04,"(25, 18)"
1.04,"(25, 24)"
1.04,"(26, 18)"
1.04,"(26, 24)"
1.04,"(27, 18)"
1.04,"(27, 24)"
1.04,"(28, 18)"
1.04,"(28, 24)"
1.04,"(29, 18)"
1.04,"(29, 24)"
1.04,"(30, 24)"
1.04,"(31, 24)"
1.04,"(32, 24)"
1.04,"(33, 24)"
1.04,"(34, 24)"
1.04,"(35, 18)"
1.04,"(35, 24)"
1.09,"(5, 15)"
1.09,"(5, 25)"
1.09,"(6, 15)"
1.09,"(6, 25)"
1.09,"(7, 15)"
1.09,"(7, 25)"
1.09,"(8, 15)"
1.09,"(8, 25)"
1.09,"(9, 15)"
1.09,"(9, 25)"
1.09,"(15, 17)"
1.09,"(15, 25)"
1.09,"(16, 17)"
1.09,"(16, 25)"
1.09,"(17, 17)"
1.09,"(17, 25)"
1.09,"(18, 17)"
1.09,"(18, 25)"
1.09,"(19, 17)"
1.09,"(19, 25)"
1.09,"(25, 17)"
1.09,"(25, 25)"
1.09,"(26, 17)"
1.09,"(26, 25)"
1.09,"(27, 17)"
1.09,"(27, 25)"
1.09,"(28, 17)"
1.09,"(28, 25)"
1.09,"(29, 17)"
1.09,"(29, 25)"
1.09,"(35, 17)"
1.09,"(35, 25)"
1.13,"(5, 14)"
1.13,"(5, 26)"
1.13,"(6, 14)"
1.13,"(6, 26)"
1.13,"(7, 14)"
1.13,"(7, 26)"
1.13,"(8, 14)"
1.13,"(8, 26)"
1.13,"(9, 14)"
1.13,"(9, 26)"
1.13,"(10, 14)"
1.13,"(11, 14)"
1.13,"(12, 14)"
1.13,"(13, 14)"
1.13,"(14, 14)"
1.13,"(15, 14)"
1.13,"(15, 15)"
1.13,"(15, 16)"
1.13,"(15, 26)"
1.13,"(16, 14)"
1.13,"(16, 15)"
1.13,"(16, 16)"
1.13,"(16, 26)"
1.13,"(17, 14)"
1.13,"(17, 15)"
1.13,"(17, 16)"
1.13,"(17, 26)"
1.13,"(18, 14)"
1.13,"(18, 15)"
1.13,"(18, 16)"
1.13,"(18, 26)"
1.13,"(19, 14)"
1.13,"(19, 15)"
1.13,"(19, 16)"
1.13,"(19, 26)"
1.13,"(20, 14)"
