deviation_factor,midpoint
1.0,"(5, 26)"
1.0,"(5, 27)"
1.0,"(5, 28)"
1.0,"(5, 29)"
1.0,"(6, 26)"
1.0,"(6, 27)"
1.0,"(6, 28)"
1.0,"(6, 29)"
1.0,"(7, 26)"
1.0,"(7, 27)"
1.0,"(7, 28)"
1.0,"(7, 29)"
1.0,"(8, 26)"
1.0,"(8, 27)"
1.0,"(8, 28)"
1.0,"(8, 29)"
1.0,"(9, 26)"
1.0,"(9, 27)"
1.0,"(9, 28)"
1.0,"(9, 29)"
1.0,"(10, 29)"
1.0,"(11, 29)"
1.0,"(12, 29)"
1.0,"(13, 29)"
1.0,"(14, 29)"
1.0,"(15, 29)"
1.0,"(16, 29)"
1.0,"(17, 29)"
1.0,"(18, 29)"
1.0,"(19, 29)"
1.0,"(20, 29)"
1.0,"(21, 29)"
1.0,"(22, 29)"
1.0,"(23, 29)"
1.0,"(24, 29)"
1.0,"(25, 29)"
1.0,"(26, 29)"
1.0,"(27, 29)"
1.0,"(28, 29)"
1.0,"(29, 29)"
1.0,"(30, 29)"
1.0,"(30, 30)"
1.0,"(30, 31)"
1.0,"(30, 32)"
1.0,"(31, 29)"
1.0,"(31, 30)"
1.0,"(31, 31)"
1.0,"(31, 32)"
1.0,"(32, 29)"
1.0,"(32, 30)"
1.0,"(32, 31)"
1.0,"(32, 32)"
1.0,"(33, 29)"
1.0,"(33, 30)"
1.0,"(33, 31)"
1.0,"(33, 32)"
1.0,"(34, 29)"
1.0,"(34, 30)"
1.0,"(34, 31)"
1.0,"(34, 32)"
1.0,"(35, 29)"
1.0,"(35, 30)"
1.0,"(35, 31)"
1.0,"(35, 32)"
1.04,"(5, 25)"
1.04,"(6, 25)"
1.04,"(7, 25)"
1.04,"(8, 25)"
1.04,"(9, 25)"
1.04,"(10, 30)"
1.04,"(11, 30)"
1.04,"(12, 30)"
1.04,"(13, 30)"
1.04,"(14, 30)"
1.04,"(15, 28)"
1.04,"(16, 28)"
1.04,"(17, 28)"
1.04,"(18, 28)"
1.04,"(19, 28)"
1.04,"(20, 30)"
1.04,"(21, 30)"
1.04,"(22, 30)"
1.04,"(23, 30)"
1.04,"(24, 30)"
1.04,"(25, 28)"
1.04,"(26, 28)"
1.04,"(27, 28)"
1.04,"(28, 28)"
1.04,"(29, 28)"
1.04,"(30, 33)"
1.04,"(31, 33)"
1.04,"(32, 33)"
1.04,"(33, 33)"
1.04,"(34, 33)"
1.04,"(35, 28)"
1.04,"(35, 33)"
1.09,"(5, 24)"
1.09,"(5, 34)"
1.09,"(6, 24)"
1.09,"(6, 34)"
1.09,"(7, 24)"
1.09,"(7, 34)"
1.09,"(8, 24)"
1.09,"(8, 34)"
1.09,"(9, 24)"
1.09,"(9, 34)"
1.09,"(10, 24)"
1.09,"(10, 31)"
1.09,"(10, 32)"
1.09,"(10, 33)"
1.09,"(10, 34)"
1.09,"(11, 24)"
1.09,"(11, 31)"
1.09,"(11, 32)"
1.09,"(11, 33)"
1.09,"(11, 34)"
1.09,"(12, 24)"
1.09,"(12, 31)"
1.09,"(12, 32)"
1.09,"(12, 33)"
1.09,"(12, 34)"
1.09,"(13, 24)"
1.09,"(13, 31)"
1.09,"(13, 32)"
1.09,"(13, 33)"
1.09,"(13, 34)"
1.09,"(14, 24)"
1.09,"(14, 31)"
1.09,"(14, 32)"
1.09,"(14, 33)"
1.09,"(14, 34)"
1.09,"(15, 24)"
1.09,"(15, 25)"
1.09,"(15, 26)"
1.09,"(15, 27)"
1.09,"(15, 34)"
1.09,"(16, 24)"
1.09,"(16, 25)"
1.09,"(16, 26)"
1.09,"(16, 27)"
1.09,"(16, 34)"
1.09,"(17, 24)"
1.09,"(17, 25)"
1.09,"(17, 26)"
1.09,"(17, 27)"
1.09,"(17, 34)"
1.09,"(18, 24)"
1.09,"(18, 25)"
1.09,"(18, 26)"
1.09,"(18, 27)"
1.09,"(18, 34)"
1.09,"(19, 24)"
1.09,"(19, 25)"
1.09,"(19, 26)"
1.09,"(19, 27)"
1.09,"(19, 34)"
1.09,"(20, 24)"
1.09,"(20, 31)"
1.09,"(20, 32)"
1.09,"(20, 33)"
1.09,"(20, 34)"
1.09,"(21, 24)"
1.09,"(21, 31)"
1.09,"(21, 32)"
1.09,"(21, 33)"
1.09,"(21, 34)"
1.09,"(22, 24)"
1.09,"(22, 31)"
1.09,"(22, 32)"
1.09,"(22, 33)"
1.09,"(22, 34)"
1.09,"(23, 24)"
1.09,"(23, 31)"
1.09,"(23, 32)"
1.09,"(23, 33)"
1.09,"(23, 34)"
1.09,"(24, 24)"
